Replicate	Systematic Errors	Sites	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
7	10	1	7	16	4	10	1.6	10	1
7	10	2	18	109	1	10	8.2	10	1.1
8	1	1	0.5	2	9	10	0.1	10	1.2
8	1	2	11	31	0	10	3.2	10	1.9
8	2	1	0.5	2	9	10	0.1	10	1.2
8	2	2	12	33	0	10	3.4	10	1.8
8	3	1	0.5	2	9	10	0.1	10	1.2
8	3	2	12.5	44	0	10	4.5	10	1.6
8	4	1	0.5	2	9	10	0.1	10	1.3
8	4	2	12.5	44	0	10	4.5	10	1.2
8	5	1	0.5	2	9	10	0.1	10	1.5
8	5	2	12.5	44	0	10	4.5	10	1.2
8	6	1	0.5	2	9	10	0.1	10	1.5
8	6	2	12.5	44	0	10	4.5	10	1.1
8	7	1	0.5	2	9	10	0.1	10	1.7
8	7	2	12.5	44	0	10	4.5	10	1.2
8	8	1	4.5	9	5	10	0.8	10	1.5
8	8	2	12.5	42	0	10	4.3	10	1.2
8	9	1	6.5	17	3	10	1.6	10	1.5
8	9	2	12.5	42	0	10	4.3	10	1.5
8	10	1	11	31	0	10	3.2	10	1.9
8	10	2	16	86	0	10	7.625	10	1.4
9	1	1	1	1	8	9	0.1111111111	9	1.2
9	1	2	9	-63204	2	9	3.666666667	9	1.5
9	2	1	1	1	8	9	0.1111111111	9	1.2
9	2	2	9	-63204	2	9	3.666666667	9	1.5
9	3	1	1	1	8	9	0.1111111111	9	1.2
9	3	2	11	-63182	3	9	5.888888889	9	1.2
9	4	1	1	1	8	9	0.1111111111	9	1.2
9	4	2	12	-63194	2	9	3.666666667	9	1.2
9	5	1	1	1	8	9	0.1111111111	9	1.4
9	5	2	12.5	-63171	2	9	7.333333333	9	1.1
9	6	1	1	1	8	9	0.1111111111	9	1.7
9	6	2	12.5	-63175	2	9	6.888888889	9	1
9	7	1	1.5	3	7	9	0.3333333333	9	1.4
9	7	2	9	-63205	2	9	3.555555556	9	1.2
9	8	1	5.5	-63220	4	9	1	9	2.2
9	8	2	12.5	-63173	2	9	7.111111111	9	1.1
9	9	1	7.5	-63210	3	9	2.777777778	9	1.6
9	9	2	15	-63161	1	9	8.666666667	9	1.2
9	10	1	9	-63204	2	9	3.666666667	9	1.5
9	10	2	17	-63151	0	9	10.11111111	9	1.3
10	1	1	0.5	2	9	10	0.1	10	1
10	1	2	7.5	18	4	10	1.7	10	1.2
10	2	2	7.5	18	4	10	1.7	10	1.2
10	3	1	0.5	2	9	10	0.1	10	1
10	3	2	7.5	18	4	10	1.7	10	1.2
10	4	1	0.5	2	9	10	0.1	10	1
10	4	2	7.5	19	4	10	1.8	10	1.1
10	5	1	1	4	7	10	0.3	10	1.1
10	5	2	7.5	19	4	10	1.8	10	1.2
10	6	1	1	4	7	10	0.3	10	1.1
10	6	2	8	21	5	10	2	10	1.2
10	7	1	1	4	7	10	0.3	10	1.1
10	7	2	17	48	2	10	4.8	10	1.2
10	8	1	1	4	7	10	0.3	10	1.3
10	8	2	16	54	3	10	5.4	10	1.1
10	9	1	2.5	8	6	10	0.7	10	1.3
10	9	2	23	90	0	10	8.2	10	1.1
10	10	1	7.5	18	4	10	1.7	10	1.2
10	10	2	24	99	0	10	9.2	10	1.1
11	1	1	0	0	10	10	0	10	1
11	1	2	7.5	12	4	10	1.2	10	1.2
11	2	1	0	0	10	10	0	10	1
11	2	2	7.5	12	4	10	1.2	10	1.2
11	3	1	0	0	10	10	0	10	1
11	3	2	7.5	12	4	10	1.2	10	1.2
11	4	1	0	0	10	10	0	10	1
11	4	2	7.5	15	5	10	1.5	10	1.2
11	5	1	0	0	10	10	0	10	1
11	5	2	9	23	4	10	2.3	10	1.2
11	6	1	0	0	10	10	0	10	1.1
11	6	2	7.5	15	5	10	1.5	10	1.1
11	7	1	0	0	10	10	0	10	1.1
11	7	2	9	23	4	10	2.3	10	1.2
11	8	1	0	0	10	10	0	10	1.1
11	8	2	12	41	4	10	4.2	10	1.6
11	9	1	1.5	3	8	10	0.3	10	1.3
11	9	2	24.5	94	1	10	9.5	10	1.3
11	10	1	7.5	12	4	10	1.2	10	1.2
11	10	2	24.5	94	1	10	9.5	10	1.3
12	1	1	0	0	10	10	0	10	1
12	1	2	6	12	5	10	1.3	10	1.1
12	2	1	0	0	10	10	0	10	1
12	2	2	6	12	5	10	1.3	10	1.1
12	3	1	0	0	10	10	0	10	1
12	3	2	6	12	5	10	1.3	10	1.1
12	4	1	0	0	10	10	0	10	1.1
