Replicate	Systematic Errors	Sites	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
29	4	1	3	3	8	9	0.3	10	1.6
29	4	2	11	33	2	10	3.3	10	1.4
29	5	1	3	3	8	9	0.3	10	1.7
29	5	2	11	33	2	10	3.3	10	1.4
29	6	1	3	3	8	9	0.3	10	1.8
29	6	2	11	33	2	10	3.3	10	1.3
29	7	1	4.5	6	6	9	0.6	10	1.6
29	7	2	11	30	2	10	3	10	1.4
29	8	1	4	9	6	9	0.9	10	1.8
29	8	2	11	30	2	10	3	10	1.1
29	9	1	9.5	29	3	9	2.9	10	1.4
29	9	2	11	30	2	10	3	10	1.4
29	10	1	11	33	2	10	3.3	10	1.3
29	10	2	22	90	0	10	5.333333333	10	1.1
30	1	1	0	0	10	10	0	10	1
30	1	2	5	20	5	10	2	10	1.2
30	2	1	0	0	10	10	0	10	1
30	2	2	5	20	5	10	2	10	1.2
30	3	1	0	0	10	10	0	10	1
30	3	2	5	20	5	10	2	10	1
30	4	1	0	0	10	10	0	10	1
30	4	2	5	20	5	10	2	10	1
30	5	1	0.5	2	8	10	0.2	10	1.1
30	5	2	7.5	29	4	10	2.9	10	1.1
30	6	1	2	7	7	10	0.7	10	1
30	6	2	7.5	26	4	10	2.6	10	1
30	7	1	3	11	6	10	1.1	10	1.1
30	7	2	7.5	26	4	10	2.6	10	1.1
30	8	1	3	11	6	10	1.1	10	1.1
30	8	2	10	41	3	10	4.1	10	1
30	9	1	5	20	5	10	2	10	1.3
30	9	2	10	41	3	10	4.1	10	1
30	10	1	5	20	5	10	2	10	1.2
30	10	2	10	41	3	10	4.1	10	1
31	1	1	0	0	10	10	0	10	1.2
31	1	2	7.5	22	3	10	2.2	10	1.4
31	2	1	0	0	10	10	0	10	1.2
31	2	2	7.5	22	3	10	2.2	10	1.4
31	3	1	0	0	10	10	0	10	1.3
31	3	2	7.5	22	3	10	2.2	10	1.2
31	4	1	0	0	10	10	0	10	1.4
31	4	2	7.5	23	3	10	2.3	10	1.3
31	5	1	1.5	3	8	10	0.3	10	1.2
31	5	2	7.5	23	3	10	2.3	10	1.4
31	6	1	1.5	3	8	10	0.3	10	1.4
31	6	2	7.5	22	3	10	2.2	10	1.1
31	7	1	3.5	12	6	10	1.2	10	1
31	7	2	6	17	4	10	1.7	10	1.5
31	8	1	3.5	12	6	10	1.2	10	1.1
31	8	2	11.5	34	2	10	3.5	10	1.1
31	9	1	3.5	12	6	10	1.2	10	1.3
31	9	2	11.5	34	2	10	3.5	10	1.2
31	10	1	7.5	22	3	10	2.2	10	1.4
31	10	2	15	58	2	10	5.9	10	1.4
32	1	1	1	7	9	9	0.2	10	1.2
32	1	2	11.5	39	3	10	4	10	1.7
32	2	1	1	7	9	9	0.2	10	1.2
32	2	2	11.5	35	3	10	3.6	10	1.2
32	3	1	1	7	9	9	0.2	10	1.2
32	3	2	11.5	39	3	10	4	10	1.3
32	4	1	1	7	9	9	0.2	10	1.4
32	4	2	11.5	39	3	10	4	10	1.2
32	5	1	1	7	9	9	0.2	10	1.4
32	5	2	13	39	2	10	4	10	1.1
32	6	1	4	15	6	9	1	10	1.3
32	6	2	13	47	2	10	4.8	10	1.2
32	7	1	4	13	5	9	0.8	10	1.6
32	7	2	13	49	2	10	5	10	1.3
32	8	1	5.5	20	5	9	1.5	10	1.5
32	8	2	13	45	2	10	4.6	10	1.4
32	9	1	5.5	20	5	9	1.5	10	1.8
32	9	2	16.5	52	1	10	5.3	10	1.3
32	10	1	11.5	39	3	10	4	10	1.7
32	10	2	16.5	52	1	10	5.3	10	1.3
33	1	1	0	0	10	10	0	10	1
33	1	2	7.5	30	1	10	3	10	1.2
33	2	1	0	0	10	10	0	10	1.1
33	2	2	7.5	30	1	10	3	10	1.2
33	3	1	0	0	10	10	0	10	1.2
33	3	2	7.5	30	1	10	3	10	1.2
33	4	1	0.5	2	8	10	0.2	10	1.3
33	4	2	10	36	0	10	3.6	10	1.1
33	5	1	2	5	6	10	0.5	10	1.4
33	5	2	10	36	0	10	3.6	10	1.1
33	6	1	2	5	6	10	0.5	10	1.3
33	6	2	10	39	0	10	3.9	10	1.3
33	7	1	3.5	10	5	10	1	10	1.2
33	7	2	10	39	0	10	3.9	10	1.1
33	8	1	5	13	3	10	1.3	10	1.2
33	8	2	13.5	73	0	10	7.3	10	1.2
33	9	1	6	24	2	10	2.4	10	1.2
33	9	2	10	39	0	10	3.9	10	1.2
33	10	1	7.5	30	1	10	3	10	1.2
33	10	2	13.5	73	0	10	7.3	10	1.2
34	1	1	0	0	10	10	0	10	1
34	1	2	3	6	6	10	0.6	10	1.2
34	2	1	0	0	10	10	0	10	1
34	2	2	3	6	6	10	0.6	10	1.2
34	3	1	0	0	10	10	0	10	1
34	3	2	3	6	6	10	0.6	10	1.2
34	4	1	0	0	10	10	0	10	1
34	4	2	3	6	6	10	0.6	10	1.3
34	5	1	0	0	10	10	0	10	1
34	5	2	6.5	-59377	4	10	1.1	10	1.1
34	6	1	0	0	10	10	0	10	1.1
34	6	2	10	-59371	3	10	1.7	10	1.2
34	7	1	1.5	3	8	10	0.3	10	1
34	7	2	12	-59366	4	10	2.2	10	1
34	8	1	1.5	3	8	10	0.3	10	1.1
34	8	2	14	-59359	3	10	3	10	1.1
34	9	1	3	6	6	10	0.6	10	1
34	9	2	17.5	-63503	2	10	3.8	10	1.1
34	10	1	3	6	6	10	0.6	10	1.2
34	10	2	22.5	-63459	1	10	9.4	10	1.1
35	1	1	0	0	10	10	0	10	1.1
35	1	2	9	24	3	10	2.5	10	1.5
35	2	1	0	0	10	10	0	10	1.1
35	2	2	9	24	3	10	2.5	10	1.6
35	3	1	0	0	10	10	0	10	1.1
35	3	2	10	31	2	10	3.2	10	1.5
35	4	1	0	0	10	10	0	10	1.1
35	4	2	9	24	10	10	0	10	1.4
35	5	1	0	0	3	10	2.5	10	1.2
35	5	2	12	40	10	10	0	10	1.4
35	6	1	1	2	1	10	4.1	10	1.3
35	6	2	12	41	8	10	0.3	10	1.4
35	7	1	1	2	1	10	4.2	10	1.6
35	7	2	13.5	54	8	10	0.3	10	1.2
35	8	1	7.5	12	0	10	5.5	10	1.2
35	8	2	13.5	55	4	10	1.2	10	1.3
35	9	1	8	18	0	10	5.6	10	1.4
35	9	2	17	74	4	10	1.8	10	1.4
35	10	1	9	24	0	10	7.5	10	1.5
35	10	2	17	74	3	10	2.5	10	1.4
36	1	1	0	0	0	10	7.5	10	1.4
36	1	2	8	20	9	9	0	9	1.4
36	2	1	0	0	4	9	2.111111111	9	1.4
36	2	2	8	20	9	9	0	9	1.2
36	3	1	0	0	4	9	2.111111111	9	1.4
36	3	2	8	20	9	9	0	9	1.2
36	4	1	0	0	4	9	2.111111111	9	1.4
36	4	2	8	20	9	9	0	9	1.2
36	5	1	0	0	4	9	2.111111111	9	1.4
36	5	2	11.5	26	9	9	0	9	1.2
36	6	1	0	0	2	9	2.777777778	9	1.5
36	6	2	11.5	26	9	9	0	9	1.1
36	7	1	1.5	3	2	9	2.777777778	9	1.4
36	7	2	15	36	7	9	0.3333333333	9	1.1
36	8	1	5	8	0	9	4	9	1.3
36	8	2	15	36	5	9	0.8888888889	9	1.1
36	9	1	5	10	0	9	4	9	1.6
36	9	2	17	42	6	9	1.111111111	9	1.2
36	10	1	8	20	1	9	4.666666667	9	1.4
36	10	2	21.5	-63153	4	9	2.111111111	9	1.1
37	1	1	0	0	1	9	8.625	9	1
37	1	2	3.5	5	9	9	0	9	1.3
37	2	1	0	0	7	9	0.5555555556	9	1
37	2	2	5	10	9	9	0	9	1.1
37	3	1	0	0	6	9	1.111111111	9	1
37	3	2	5	10	9	9	0	9	1
37	4	1	0	0	6	9	1.111111111	9	1
37	4	2	7.5	-60562	9	9	0	9	1
37	5	1	0	0	5	9	1.444444444	9	1
37	5	2	9.5	-60559	9	9	0	9	1
37	6	1	0	0	3	9	1.888888889	9	1
37	6	2	12	-63208	9	9	0	9	1
37	7	1	0	0	2	9	2.888888889	9	1.2
37	7	2	14	-63202	9	9	0	9	1.1
37	8	1	3.5	5	1	9	3.666666667	9	1.1
37	8	2	14	-63202	7	9	0.5555555556	9	1.2
37	9	1	3.5	5	1	9	3.666666667	9	1
37	9	2	17.5	-63194	7	9	0.5555555556	9	1.1
37	10	1	3.5	5	0	9	4.777777778	9	1.3
37	10	2	20	-63174	7	9	0.5555555556	9	1.1
38	1	1	0	0	0	9	7.666666667	9	1
38	1	2	9	19	10	10	0	10	1.2
38	2	1	0	0	4	10	1.9	10	1
38	2	2	11.5	25	10	10	0	10	1.2
38	3	1	0	0	3	10	2.5	10	1.1
38	3	2	9	19	10	10	0	10	1.2
38	4	1	0	0	4	10	1.9	10	1.1
38	4	2	9	19	10	10	0	10	1.3
38	5	1	0	0	4	10	1.9	10	1.1
38	5	2	9	19	10	10	0	10	1.2
38	6	1	2.5	4	4	10	1.9	10	1.1
38	6	2	14.5	36	8	10	0.4	10	1.3
38	7	1	5	9	2	10	3.7	10	1
38	7	2	14.5	33	7	10	0.9	10	1.4
38	8	1	5	9	2	10	3.4	10	1.1
38	8	2	14.5	36	7	10	0.9	10	1.4
38	9	1	5	9	2	10	3.7	10	1.4
38	9	2	21	67	7	10	0.9	10	1.2
38	10	1	9	19	0	10	6.8	10	1.2
38	10	2	21	67	4	10	1.9	10	1.2
39	1	1	0	0	0	10	6.8	10	1.1
39	1	2	8	24	10	10	0	10	1.3
39	2	1	0	0	3	10	2.5	10	1.1
39	2	2	8	23	10	10	0	10	1.3
39	3	1	0	0	3	10	2.4	10	1.1
39	3	2	11.5	28	10	10	0	10	1.2
39	4	1	0	0	1	10	2.9	10	1.1
39	4	2	11.5	29	10	10	0	10	1.2
39	5	1	0	0	1	10	3	10	1.1
39	5	2	10.5	31	10	10	0	10	1.1
39	6	1	0	0	2	10	3.2	10	1.2
39	6	2	13	43	10	10	0	10	1.3
39	7	1	0	0	0	10	4.5	10	1.3
39	7	2	15	44	10	10	0	10	1.4
39	8	1	1.5	3	1	10	4.5	10	1.6
39	8	2	16	62	8	10	0.3	10	1.2
39	9	1	4	7	1	10	6.4	10	1.6
39	9	2	16	62	6	10	0.7	10	1.2
39	10	1	8	24	1	10	6.4	10	1.3
39	10	2	16.5	73	3	10	2.5	10	1
40	1	1	0	0	0	10	7.5	10	1
40	1	2	5.5	32	10	10	0	10	1.5
40	2	1	0	0	3	10	3.2	10	1
40	2	2	5.5	32	10	10	0	10	1.5
40	3	1	0.5	2	3	10	3.2	10	1
40	3	2	6	29	8	10	0.2	10	1.3
40	4	1	0.5	2	3	10	2.9	10	1.5
40	4	2	6	29	8	10	0.2	10	1.2
40	5	1	1	4	3	10	2.9	10	1.7
40	5	2	6	29	6	10	0.4	10	1.3
40	6	1	1	4	3	10	2.9	10	1.9
40	6	2	11	-63189	6	10	0.4	10	1.2
40	7	1	3	13	2	10	4.3	10	1.4
40	7	2	11.5	-63171	5	10	1.3	10	1.1
40	8	1	5.5	21	2	10	6.7	10	1.3
40	8	2	11	-63169	3	10	2.1	10	1.3
40	9	1	5.5	20	2	10	6.9	10	1.4
40	9	2	12.5	-63471	3	10	2	10	1.2
40	10	1	5.5	32	1	10	8.1	10	1.5
40	10	2	12.5	-63471	3	10	3.2	10	1.2
41	1	1	0	0	1	10	8.1	10	1.1
41	1	2	5.5	20	10	10	0	10	1.3
41	2	1	0	0	5	10	2.1	10	1.1
41	2	2	6.5	16	10	10	0	10	1.1
41	3	1	0	0	4	10	1.7	10	1.2
41	3	2	6.5	16	10	10	0	10	1.1
41	4	1	2	3	4	10	1.7	10	1.3
41	4	2	6	18	8	10	0.4	10	1.4
41	5	1	2	3	5	10	1.8	10	1.4
41	5	2	9.5	23	8	10	0.4	10	1.1
41	6	1	3.5	8	3	10	2.3	10	1.3
41	6	2	14.5	42	7	10	0.9	10	1.3
41	7	1	3.5	12	2	10	4.4	10	1.2
41	7	2	12	35	6	10	1.2	10	1.3
41	8	1	4.5	10	3	10	3.7	10	1.4
41	8	2	13.5	43	5	10	1	10	1.3
41	9	1	5.5	20	2	10	4.5	10	1.1
41	9	2	16	52	5	10	2.1	10	1.2
41	10	1	5.5	20	1	10	5.4	10	1.3
41	10	2	16	52	5	10	2.1	10	1.2
42	1	1	0	0	1	10	5.4	10	1
42	1	2	6	19	10	10	0	10	1.1
42	2	1	0	0	4	10	1.9	10	1
42	2	2	6	19	10	10	0	10	1.1
42	3	1	0	0	4	10	1.9	10	1
42	3	2	6	19	10	10	0	10	1.1
42	4	1	0	0	4	10	1.9	10	1
42	4	2	6	19	10	10	0	10	1.1
42	5	1	0.5	2	4	10	1.9	10	1
42	5	2	14	35	8	10	0.2	10	1
42	6	1	1	4	2	10	3.5	10	1
42	6	2	14	35	6	10	0.4	10	1
42	7	1	1	4	2	10	3.5	10	1.1
42	7	2	14	36	6	10	0.4	10	1.1
42	8	1	1	4	2	10	3.6	10	1.2
42	8	2	14	36	6	10	0.4	10	1.3
42	9	1	6	19	2	10	3.6	10	1
42	9	2	22	60	4	10	1.9	10	1
42	10	1	6	19	1	10	5.9	10	1.1
42	10	2	24.5	76	4	10	1.9	10	1
43	1	1	0	0	0	10	6	10	1.3
43	1	2	1.5	3	10	10	0	10	1.3
43	2	1	0	0	8	10	0.3	10	1.3
43	2	2	1.5	3	10	10	0	10	1.3
43	3	1	0	0	8	10	0.3	10	1.3
43	3	2	1.5	3	10	10	0	10	1.3
43	4	1	0	0	8	10	0.3	10	1.4
43	4	2	5.5	10	10	10	0	10	1.2
43	5	1	1.5	3	6	10	0.9	10	1.1
43	5	2	5.5	10	8	10	0.3	10	1.2
43	6	1	1.5	3	6	10	0.9	10	1.1
43	6	2	4.5	7	8	10	0.3	10	1.6
43	7	1	1.5	3	6	10	0.8	10	1.1
43	7	2	9	31	8	10	0.3	10	1.2
43	8	1	1.5	3	5	10	3.1	10	1.1
43	8	2	9	31	8	10	0.3	10	1.1
43	9	1	1.5	3	5	10	3.1	10	1.1
43	9	2	14.5	45	8	10	0.3	10	1.3
43	10	1	1.5	3	4	10	4.5	10	1.3
43	10	2	24.5	94	8	10	0.3	10	1.2
44	1	1	0	0	2	10	5.833333333	10	1
44	1	2	1.5	3	10	10	0	10	1.1
44	2	1	0	0	8	10	0.3	10	1
44	2	2	1.5	3	10	10	0	10	1.1
44	3	1	0	0	8	10	0.3	10	1
44	3	2	1.5	3	10	10	0	10	1.1
44	4	1	0	0	8	10	0.3	10	1.1
44	4	2	1.5	3	10	10	0	10	1.1
44	5	1	0	0	8	10	0.3	10	1.1
44	5	2	8.5	15	10	10	0	10	1.1
44	6	1	0	0	5	10	1.5	10	1.1
44	6	2	11.5	21	10	10	0	10	1.1
44	7	1	1.5	3	5	10	2.1	10	1
44	7	2	14.5	26	8	10	0.3	10	1.2
44	8	1	1.5	3	3	10	2.6	10	1
44	8	2	19	82	8	10	0.3	10	1
44	9	1	1.5	3	2	10	5	10	1
44	9	2	19	82	8	10	0.3	10	1.1
44	10	1	1.5	3	2	10	5	10	1.1
44	10	2	21.5	98	8	10	0.3	10	1.1
45	1	1	0	0	1	10	6	10	1.1
45	1	2	3	7	10	10	0	10	1.3
45	2	1	0	0	7	10	0.7	10	1.1
45	2	2	3	7	10	10	0	10	1.3
45	3	1	0	0	7	10	0.7	10	1.1
45	3	2	3	7	10	10	0	10	1.3
45	4	1	0	0	7	10	0.7	10	1.1
45	4	2	3	7	10	10	0	10	1.3
45	5	1	0.5	2	7	10	0.7	10	1.1
45	5	2	3	7	8	10	0.2	10	1.5
45	6	1	0.5	2	7	10	0.7	10	1.1
45	6	2	5.5	13	8	10	0.2	10	1.3
45	7	1	0.5	2	6	10	1.3	10	1.1
45	7	2	12	21	8	10	0.2	10	1.1
