1	1	1	0
1	1	2	13
1	2	1	0
1	2	2	13
1	3	1	0
1	3	2	10
1	4	1	0
1	4	2	10
1	5	1	0
1	5	2	10
1	6	1	2.5
1	6	2	10
1	7	1	2.5
1	7	2	13
1	8	1	3
1	8	2	13
1	9	1	7.5
1	9	2	13
1	10	1	13
1	10	2	20
2	1	1	0
2	1	2	4
2	2	1	0
2	2	2	4
2	3	1	0
2	3	2	4
2	4	1	0
2	4	2	4
2	5	1	0
2	5	2	7.5
2	6	1	0
2	6	2	7.5
2	7	1	0
2	7	2	14.5
2	8	1	0
2	8	2	21
2	9	1	0.5
2	9	2	21
2	10	1	4
2	10	2	21
3	1	1	0
3	1	2	8.5
3	2	1	0
3	2	2	8.5
3	3	1	0
3	3	2	8.5
3	4	1	0
3	4	2	8.5
3	5	1	0
3	5	2	8.5
3	6	1	0.5
3	6	2	13
3	7	1	1
3	7	2	13
3	8	1	4.5
3	8	2	13
3	9	1	7
3	9	2	15.5
3	10	1	8.5
3	10	2	15.5
4	1	1	0
4	1	2	8
4	2	1	0
4	2	2	8.5
4	3	1	0
4	3	2	7.5
4	4	1	0
4	4	2	7.5
4	5	1	0
4	5	2	12
4	6	1	1.5
4	6	2	12.5
4	7	1	2.5
4	7	2	15
4	8	1	5.5
4	8	2	16
4	9	1	6
4	9	2	16
4	10	1	8
4	10	2	16.5
5	1	1	0
5	1	2	2.5
5	2	1	0
5	2	2	2.5
5	3	1	0
5	3	2	2.5
5	4	1	0
5	4	2	2.5
5	5	1	0
5	5	2	2.5
5	6	1	0
5	6	2	7.5
5	7	1	2.5
5	7	2	7.5
5	8	1	2.5
5	8	2	7.5
5	9	1	2.5
5	9	2	12.5
5	10	1	2.5
5	10	2	27.5
6	1	1	0
6	1	2	5.5
6	2	1	0
6	2	2	5.5
6	3	1	0
6	3	2	5.5
6	4	1	0
6	4	2	5.5
6	5	1	0
6	5	2	9
6	6	1	0
6	6	2	10.5
6	7	1	0
6	7	2	10.5
6	8	1	0
6	8	2	17.5
6	9	1	2
6	9	2	18
6	10	1	5.5
6	10	2	20
7	1	1	0
7	1	2	7
7	2	1	0
7	2	2	7
7	3	1	0
7	3	2	7
7	4	1	0
7	4	2	8.5
7	5	1	0
7	5	2	8.5
7	6	1	3
7	6	2	11
7	7	1	1.5
7	7	2	14
7	8	1	1.5
7	8	2	16.5
7	9	1	3
7	9	2	18
7	10	1	7
7	10	2	18
8	1	1	0.5
8	1	2	11
8	2	1	0.5
8	2	2	12
8	3	1	0.5
8	3	2	12.5
8	4	1	0.5
8	4	2	12.5
8	5	1	0.5
8	5	2	12.5
8	6	1	0.5
8	6	2	12.5
8	7	1	0.5
8	7	2	12.5
8	8	1	4.5
8	8	2	12.5
8	9	1	6.5
8	9	2	12.5
8	10	1	11
8	10	2	16
9	1	1	1
9	1	2	9
9	2	1	1
9	2	2	9
9	3	1	1
9	3	2	11
9	4	1	1
9	4	2	12
9	5	1	1
9	5	2	12.5
9	6	1	1
9	6	2	12.5
9	7	1	1.5
9	7	2	9
9	8	1	5.5
9	8	2	12.5
9	9	1	7.5
9	9	2	15
9	10	1	9
9	10	2	17
10	1	1	0.5
10	1	2	7.5
10	2	2	7.5
10	3	1	0.5
10	3	2	7.5
10	4	1	0.5
10	4	2	7.5
10	5	1	1
10	5	2	7.5
10	6	1	1
10	6	2	8
10	7	1	1
10	7	2	17
10	8	1	1
10	8	2	16
10	9	1	2.5
10	9	2	23
10	10	1	7.5
10	10	2	24
11	1	1	0
11	1	2	7.5
11	2	1	0
11	2	2	7.5
11	3	1	0
11	3	2	7.5
11	4	1	0
11	4	2	7.5
11	5	1	0
11	5	2	9
11	6	1	0
11	6	2	7.5
11	7	1	0
11	7	2	9
11	8	1	0
11	8	2	12
11	9	1	1.5
11	9	2	24.5
11	10	1	7.5
11	10	2	24.5
12	1	1	0
12	1	2	6
12	2	1	0
12	2	2	6
12	3	1	0
12	3	2	6
12	4	1	0
12	4	2	6
12	5	1	0
12	5	2	6
12	6	1	0
12	6	2	11
12	7	1	1.5
12	7	2	14
12	8	1	4.5
12	8	2	15
12	9	1	6
12	9	2	18
12	10	1	6
12	10	2	22
13	1	1	0
13	1	2	6.5
13	2	1	0
13	2	2	6.5
13	3	1	0
13	3	2	6.5
13	4	1	0
13	4	2	10
13	5	1	0
13	5	2	13
13	6	1	0
13	6	2	13.5
13	7	1	0
13	7	2	13
13	8	1	5
13	8	2	13
13	9	1	6.5
13	9	2	17.5
13	10	1	6.5
13	10	2	22.5
14	1	1	0
14	1	2	7
14	2	1	0
14	2	2	7
14	3	1	0
14	3	2	7
14	4	1	0
14	4	2	7
14	5	1	0
14	5	2	7
14	6	1	0
14	6	2	7
14	7	1	0
14	7	2	18
14	8	1	0
14	8	2	21.5
14	9	1	3.5
14	9	2	23.5
14	10	1	7
14	10	2	29.5
15	1	1	0.5
15	1	2	6
15	2	1	0.5
15	2	2	6
15	3	1	0.5
15	3	2	6
15	4	1	0.5
15	4	2	7.5
15	5	1	0.5
15	5	2	8.5
15	6	1	0.5
15	6	2	7.5
15	7	1	1
15	7	2	7.5
15	8	1	5
15	8	2	7.5
15	9	1	6
15	9	2	8.5
15	10	1	6
15	10	2	19.5
16	1	1	0
16	1	2	3
16	2	1	0
16	2	2	6.5
16	3	1	0
16	3	2	3
16	4	1	0
16	4	2	6.5
16	5	1	0
16	5	2	6.5
16	6	1	0
16	6	2	10.5
16	7	1	0
16	7	2	10.5
16	8	1	0
16	8	2	16
16	9	1	3
16	9	2	16.5
16	10	1	3
16	10	2	22
17	1	1	0
17	1	2	6
17	2	1	0
17	2	2	6
17	3	1	0
17	3	2	6
17	4	1	0
17	4	2	6
17	5	1	0
17	5	2	9.5
17	6	1	0
17	6	2	9.5
17	7	1	0
17	7	2	13.5
17	8	1	0
17	8	2	13.5
17	9	1	0
17	9	2	21
17	10	1	6
17	10	2	27
18	1	1	0
18	1	2	8
18	2	1	0
18	2	2	8
18	3	1	0
