1	10	2
1	20	2
1	30	5.5
1	40	0
1	50	10.5
2	10	0
2	20	5.5
2	30	4.5
2	40	16.5
2	50	15.5
3	10	3
3	20	2
3	30	5
3	40	4
3	50	17.5
4	10	1
4	20	6
4	30	8
4	40	8.5
4	50	12.5
5	10	1
5	20	1
5	30	6
5	40	3
5	50	7.5
6	10	1
6	20	7.5
6	30	11.5
6	40	12.5
6	50	21.5
7	10	1
7	20	2
7	30	7.5
7	40	7
7	50	15.5
8	10	1.5
8	20	2
8	30	3.5
8	40	11
8	50	8
9	10	2
9	20	1
9	30	5
9	40	13
9	50	15
10	10	2
10	20	2.5
10	30	5.5
10	40	11
10	50	14
11	10	0
11	20	4
11	30	6
11	40	15
11	50	8
12	10	2
12	20	2.5
12	30	3.5
12	40	12
12	50	19.5
13	10	1
13	20	1
13	30	8
13	40	11
13	50	14
14	10	2
14	20	4
14	30	2
14	40	5
14	50	6
15	10	0.5
15	20	1.5
15	30	7
15	40	8
15	50	14
16	10	3
16	20	6
16	30	7.5
16	40	17.5
16	50	20.5
17	10	2
17	20	4.5
17	30	11.5
17	40	4
17	50	13.5
18	10	4
18	20	2
18	30	2.5
18	40	14.5
18	50	17
19	10	0.5
19	20	11
19	30	10
19	40	5
19	50	8
20	10	1
20	20	9
20	30	6.5
20	40	19.5
20	50	14
21	10	2
21	20	3
21	30	9.5
21	40	7
21	50	14
22	10	4.5
22	20	7.5
22	30	6.5
22	40	10
22	50	15.5
23	10	1
23	20	2.5
23	30	5
23	40	10.5
23	50	24.5
24	10	6
24	20	2
24	30	7
24	40	11
24	50	15
25	10	0
25	20	3.5
25	30	4.5
25	40	15.5
25	50	10
26	10	1
26	20	5.5
26	30	10
26	40	6
26	50	12
27	10	1
27	20	9
27	30	8.5
27	40	16.5
27	50	16
28	10	1
28	20	8.5
28	30	4
28	40	11.5
28	50	11
29	10	5
29	20	4
29	30	2
29	40	13.5
29	50	12.5
30	10	1
30	20	6
30	30	9
30	40	9
30	50	9.5
31	10	0
31	20	7
31	30	4.5
31	40	4.5
31	50	14
32	10	2
32	20	7.5
32	30	4.5
32	40	12
32	50	15.5
33	10	1
33	20	4
33	30	3
33	40	6
33	50	17.5
34	10	0
34	20	1
34	30	4
34	40	9
34	50	12
35	10	0
35	20	1
35	30	6
35	40	15.5
35	50	7.5
36	10	3.5
36	20	1.5
36	30	4
36	40	9.5
36	50	6.5
37	10	1
37	20	1.5
37	30	4
37	40	8.5
37	50	9.5
38	10	0
38	20	3
38	30	3
38	40	13
38	50	14.5
39	10	2.5
39	20	5
39	30	5
39	40	16.5
39	50	12.5
40	10	4
40	20	8
40	30	4.5
40	40	4
40	50	13.5
41	10	0
41	20	3
41	30	3
41	40	4
41	50	7.5
42	10	1
42	20	2
42	30	10.5
42	40	6.5
42	50	13.5
43	10	2.5
43	20	2.5
43	30	8.5
43	40	3
43	50	11.5
44	10	1
44	20	4
44	30	10.5
44	40	6.5
44	50	12.5
45	10	2
45	20	2
45	30	5
45	40	9
45	50	18.5
46	10	2
46	20	5.5
46	30	7
46	40	12.5
46	50	11
47	10	2
47	20	6.5
47	30	10
47	40	3.5
47	50	21
48	10	2.5
48	20	0
48	30	11.5
48	40	9
