1	10	50.0000
1	20	51.0000
1	30	51.0000
1	40	50.0000
1	50	51.0000
1	60	51.0000
1	70	51.0000
1	80	51.0000
1	90	50.0000
1	100	50.0000
2	10	45.5000
2	20	45.5000
2	30	45.5000
2	40	45.5000
2	50	45.5000
2	60	45.0000
2	70	46.0000
2	80	45.5000
2	90	45.5000
2	100	46.0000
3	10	46.5000
3	20	46.0000
3	30	46.5000
3	40	46.5000
3	50	47.0000
3	60	45.5000
3	70	44.5000
3	80	46.0000
3	90	45.5000
3	100	45.5000
4	10	32.5000
4	20	32.5000
4	30	32.5000
4	40	32.5000
4	50	32.5000
4	60	32.5000
4	70	32.5000
4	80	33.5000
4	90	33.5000
4	100	33.5000
5	10	33.0000
5	20	31.0000
5	30	32.0000
5	40	32.0000
5	50	31.5000
5	60	30.5000
5	70	30.5000
5	80	30.5000
5	90	32.5000
5	100	31.5000
