1	1	1	46.5000
1	2	1	45.0000
1	3	1	43.0000
1	4	1	44.0000
1	5	1	44.0000
1	6	1	46.0000
1	7	1	44.5000
1	8	1	45.5000
1	9	1	46.0000
1	10	1	47.0000
2	1	1	43.5000
2	2	1	42.5000
2	3	1	42.5000
2	4	1	42.5000
2	5	1	43.0000
2	6	1	43.0000
2	7	1	43.0000
2	8	1	43.5000
2	9	1	45.5000
2	10	1	44.0000
3	1	1	42.0000
3	2	1	43.5000
3	3	1	42.5000
3	4	1	42.5000
3	5	1	43.0000
3	6	1	42.0000
3	7	1	43.5000
3	8	1	40.5000
3	9	1	40.5000
3	10	1	42.5000
4	1	1	30.0000
4	2	1	30.0000
4	3	1	30.0000
4	4	1	30.0000
4	5	1	30.0000
4	6	1	30.0000
4	7	1	31.0000
4	8	1	31.5000
4	9	1	32.0000
4	10	1	32.5000
5	1	1	29.0000
5	2	1	28.5000
5	3	1	28.5000
5	4	1	30.0000
5	5	1	28.5000
5	6	1	31.0000
5	7	1	29.5000
5	8	1	31.5000
5	9	1	30.5000
5	10	1	34.5000
